업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시(입찰마감일시),공동수급,투찰
용역,20170435318-00,긴급,2017년 찾아가는 자전거 안전교육 용역,경기도 남양주시,경기도 남양주시,제한(총액),2017/04/24 20:51(2017/05/02 10:00),,지문투찰
용역,20170435317-00,일반,「서울시 문화시설 전수조사 및 건립기준 마련」 연구용역,서울특별시,서울특별시,제한(총액)협상에의한계약,2017/04/24 20:50(2017/05/16 16:00),,지문투찰
공사,20170435314-00,일반,2017년 1차 슬레이트 처리사업(8권역 강림면),강원도 횡성군,강원도 횡성군,수의(소액),2017/04/24 20:47(2017/04/28 12:00),,지문투찰
물품,20170435315-00,긴급,아산시 분뇨 및 가축분뇨 공공처리시설 송풍기 제작 설치 공고,충청남도 아산시,충청남도 아산시,제한(총액),2017/04/24 20:46(2017/05/02 10:00),,지문투찰
공사,20170435312-00,일반,친환경어린이공원 정비공사,서울특별시 동작구,서울특별시 동작구,수의(소액),2017/04/24 20:45(2017/04/28 10:00),,지문투찰
용역,20170435251-00,일반,2017년 서울역사박물관 자원봉사자 문화유적지 답사 용역,서울특별시 서울역사박물관,서울특별시 서울역사박물관,수의(총액)소액수의,2017/04/24 20:45(2017/05/02 10:00),,지문투찰
공사,20170435307-00,긴급,2017년 효석 문학의 숲 보완사업,강원도 평창군,강원도 평창군,수의(소액),2017/04/24 20:43(2017/04/28 10:00),,지문투찰
공사,20170435309-00,일반,2017년 1차 슬레이트 처리사업(7권역 공근면),강원도 횡성군,강원도 횡성군,수의(소액),2017/04/24 20:42(2017/04/28 12:00),,지문투찰
공사,20170435305-00,일반,덕계근린공원 노후 건물 및 시설물 개선사업 건축공사,경기도 양주시,경기도 양주시,수의(소액),2017/04/24 20:39(2017/04/28 10:00),,지문투찰
용역,20170435302-00,긴급,농어촌도로212호선(합성~웃송능)도로확장공사 실시설계용역,경기도 남양주시,경기도 남양주시,제한경쟁,2017/04/24 20:37(2017/05/02 10:00),협정,지문투찰
공사,20170435303-00,일반,2017년 1차 슬레이트 처리사업(6권역 청일면),강원도 횡성군,강원도 횡성군,수의(소액),2017/04/24 20:37(2017/04/28 12:00),,지문투찰
공사,20170435301-00,일반,거제향교 방부 방충공사,경상남도 거제시,경상남도 거제시,수의(소액),2017/04/24 20:35(2017/04/28 10:00),,지문투찰
용역,20170432744-00,일반,대항처리분구 2단계 하수관로 정비사업(백옥동 구간) 수밀시험 및 CCTV조사용역,경상북도 김천시,경상북도 김천시,수의(총액),2017/04/24 20:35(2017/05/01 12:00),,지문투찰
용역,20170435273-01,변경,(재공고)인증프로세스 자동화 시스템 운영 및 기능 개선,한국인터넷진흥원,한국인터넷진흥원,제한(총액)협상에의한계약,2017/04/24 20:33(-),협정,
공사,20170435300-00,일반,2017년 1차 슬레이트 처리사업(5권역 갑천면),강원도 횡성군,강원도 횡성군,수의(소액),2017/04/24 20:32(2017/04/28 12:00),,지문투찰
용역,20170435299-00,일반,(재공고)전자거래 및 전자문서 표준화 지원 위탁용역,한국인터넷진흥원,한국인터넷진흥원,제한(총액)협상에의한계약,2017/04/24 20:31(-),협정,
공사,20170435296-00,긴급,생활주변 가로수(송어축제장 및 체육공원 주변) 정비사업,강원도 평창군,강원도 평창군,수의(소액),2017/04/24 20:30(2017/04/28 10:00),,지문투찰
물품,20170435290-00,일반,2016년 말산업특구사업(농용굴삭기 구입) 입찰대행,제주특별자치도 제주시,제주특별자치도 제주시,수의(총액)소액수의,2017/04/24 20:29(2017/05/01 15:00),,지문투찰
공사,20170435295-00,일반,2017년 1차 슬레이트 처리사업(4권역 둔내면),강원도 횡성군,강원도 횡성군,수의(소액),2017/04/24 20:27(2017/04/28 12:00),,지문투찰
공사,20170435293-00,일반,아산온천관광지 보도블럭 정비공사,충청남도 아산시,충청남도 아산시,지역제한,2017/04/24 20:26(2017/05/01 14:00),,지문투찰
공사,20170435283-00,일반,서부동 세운빌라 일원 배수관 정비공사,울산광역시 상수도사업본부 동부사업소,울산광역시 상수도사업본부 동부사업소,지역제한,2017/04/24 20:25(2017/05/04 10:00),,지문투찰
용역,20170435291-00,긴급,양지사거리~서독로교차로 보행로 개선공사 폐기물처리 용역,경기도 광명시,경기도 광명시,제한(총액),2017/04/24 20:25(2017/05/02 14:00),협정,지문투찰
공사,20170435292-00,일반,2017년 임도구조개량 사업,경상남도 거제시,경상남도 거제시,수의(소액),2017/04/24 20:25(2017/04/28 10:00),,지문투찰
공사,20170435289-00,일반,위임국도40호(송산교차로~수덕교차로) 포장도 보수공사,충청남도,충청남도,지역제한,2017/04/24 20:24(2017/05/02 10:00),,지문투찰
공사,20170434984-00,일반,"2017년 하천(약사천,척과천,명정천) 둔치 유지관리공사 연간단가계약",울산광역시 중구,울산광역시 중구,수의(소액),2017/04/24 20:23(2017/04/28 11:00),,지문투찰
공사,20170435272-00,일반,방어동 꽃나루공원 일원 노후배수관 교체공사,울산광역시 상수도사업본부 동부사업소,울산광역시 상수도사업본부 동부사업소,지역제한,2017/04/24 20:23(2017/05/04 10:00),,지문투찰
용역,20170435288-00,일반,보은읍(선도지구) 농촌중심지활성화사업 기본계획 수립용역(재공고),한국농어촌공사 충북지역본부,한국농어촌공사 충북지역본부,제한(총액)협상에의한계약,2017/04/24 20:22(2017/05/10 12:00),,지문투찰
용역,20170435276-00,일반,2040 KOEM 비전 실천전략 연구,해양환경관리공단,해양환경관리공단,제한(총액)협상에의한계약,2017/04/24 20:22(2017/05/08 11:00),협정,지문투찰
공사,20170435286-00,일반,2017년 지방하천 하도정비공사,충청남도 아산시,충청남도 아산시,지역제한,2017/04/24 20:20(2017/05/01 14:00),,지문투찰
물품,20170435282-00,일반,수도권매립지 반입차량 도색,경기도 남양주시,경기도 남양주시,수의(총액)소액-견적입찰,2017/04/24 20:20(2017/04/28 10:00),,지문투찰
공사,20170435285-00,일반,근로자가족복지회관 석면철거공사,경상남도 거제시,경상남도 거제시,수의(소액),2017/04/24 20:20(2017/04/28 10:00),,지문투찰
물품,20170435278-00,일반,행복플러스보호작업장 기능보강사업(양말편직기 구입),행복플러스보호작업장,행복플러스보호작업장,일반(총액),2017/04/24 20:19(2017/05/02 12:00),,지문투찰
공사,20170435280-00,일반,궁리교 보수공사,충청남도,충청남도,지역제한,2017/04/24 20:18(2017/05/02 10:00),,지문투찰
공사,20170435279-00,일반,2017년 1차 슬레이트 처리사업(3권역 안흥면),강원도 횡성군,강원도 횡성군,수의(소액),2017/04/24 20:18(2017/04/28 12:00),,지문투찰
용역,20170427006-00,긴급,출연연 재정정보시스템 4차 구축 사업,조달청,경제인문사회연구회,일반(총액)협상에의한계약,2017/04/24 20:17(2017/05/22 10:00),협정,지문투찰
공사,20170435277-00,일반,사성마을 농로확포장 공사,전라남도 담양군,전라남도 담양군,수의(소액),2017/04/24 20:17(2017/04/28 10:00),,지문투찰
용역,20170435275-00,긴급,대로1-1호선 도로확포장공사 폐기물처리 용역,경기도 남양주시,경기도 남양주시,제한(총액),2017/04/24 20:16(2017/05/02 10:00),협정,지문투찰
공사,20170434960-00,일반,2017년 하천(태화강) 둔치 유지관리공사 연간단가계약,울산광역시 중구,울산광역시 중구,수의(소액),2017/04/24 20:16(2017/04/28 11:00),,지문투찰
공사,20170435258-00,일반,2017년 공원 및 녹지 유지관리사업,경상남도 거제시,경상남도 거제시,수의(소액),2017/04/24 20:13(2017/04/28 10:00),,지문투찰
공사,20170435271-00,일반,근로자가족복지회관 천장재 교체공사,경상남도 거제시,경상남도 거제시,수의(소액),2017/04/24 20:13(2017/04/28 10:00),,지문투찰
